Ticker,Frequency,Fiscal,Period Ending,Total Revenue,Reported Currency,Fiscal_period
ABSCF,annual,TTM,2024-06-30 00:00:00,"1,082,000",EUR,Fiscal year is January - December
ABSCF,annual,FY 2023,2023-12-31 00:00:00,"970,000",EUR,Fiscal year is January - December
ABSCF,annual,FY 2022,2022-12-31 00:00:00,"958,000",EUR,Fiscal year is January - December
ABSCF,annual,FY 2021,2021-12-31 00:00:00,"1,607,000",EUR,Fiscal year is January - December
ABSCF,annual,FY 2020,2020-12-31 00:00:00,"1,583,000",EUR,Fiscal year is January - December
ABSCF,annual,FY 2019,2019-12-31 00:00:00,"1,571,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H1 2024,2024-06-30 00:00:00,"560,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H2 2023,2023-12-31 00:00:00,"522,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H1 2023,2023-06-30 00:00:00,"448,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H2 2022,2022-12-31 00:00:00,"329,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H1 2022,2022-06-30 00:00:00,"629,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H2 2021,2021-12-31 00:00:00,"789,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H1 2021,2021-06-30 00:00:00,"818,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H2 2020,2020-12-31 00:00:00,"776,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H1 2020,2020-06-30 00:00:00,"807,000",EUR,Fiscal year is January - December
ABSCF,Semi-Annual,H2 2019,2019-12-31 00:00:00,"780,000",EUR,Fiscal year is January - December
ACHFF,annual,TTM,2024-06-30 00:00:00,"1,383,636",CAD,Fiscal year is October - September
ACHFF,annual,FY 2023,2023-09-30 00:00:00,"1,983,643",CAD,Fiscal year is October - September
ACHFF,annual,FY 2022,2022-09-30 00:00:00,"964,681",CAD,Fiscal year is October - September
ACHFF,annual,FY 2021,2021-09-30 00:00:00,"3,886,620",CAD,Fiscal year is October - September
ACHFF,annual,FY 2020,2020-09-30 00:00:00,"67,886",CAD,Fiscal year is October - September
ACHFF,annual,FY 2019,2019-09-30 00:00:00,"93,876",CAD,Fiscal year is October - September
ACHFF,quarterly,Q3 2024,2024-06-30 00:00:00,-,CAD,Fiscal year is October - September
ACHFF,quarterly,Q2 2024,2024-03-31 00:00:00,"2,184,360",CAD,Fiscal year is October - September
ACHFF,quarterly,Q1 2024,2023-12-31 00:00:00,"298,145",CAD,Fiscal year is October - September
ACHFF,quarterly,Q4 2023,2023-09-30 00:00:00,"-1,098,869",CAD,Fiscal year is October - September
ACHFF,quarterly,Q3 2023,2023-06-30 00:00:00,"116,371",CAD,Fiscal year is October - September
ACHFF,quarterly,Q2 2023,2023-03-31 00:00:00,"2,531,421",CAD,Fiscal year is October - September
ACHFF,quarterly,Q1 2023,2022-12-31 00:00:00,"434,719",CAD,Fiscal year is October - September
ACHFF,quarterly,Q4 2022,2022-09-30 00:00:00,"-593,700",CAD,Fiscal year is October - September
ACHFF,quarterly,Q3 2022,2022-06-30 00:00:00,-,CAD,Fiscal year is October - September
ACHFF,quarterly,Q2 2022,2022-03-31 00:00:00,"1,123,478",CAD,Fiscal year is October - September
ACHFF,quarterly,Q1 2022,2021-12-31 00:00:00,"434,903",CAD,Fiscal year is October - September
ACHFF,quarterly,Q4 2021,2021-09-30 00:00:00,"1,868,457",CAD,Fiscal year is October - September
ACHFF,quarterly,Q3 2021,2021-06-30 00:00:00,"1,997,078",CAD,Fiscal year is October - September
ACHFF,quarterly,Q2 2021,2021-03-31 00:00:00,"21,085",CAD,Fiscal year is October - September
ACHFF,quarterly,Q1 2021,2020-12-31 00:00:00,-,CAD,Fiscal year is October - September
ACHFF,quarterly,Q4 2020,2020-09-30 00:00:00,"-17,337",CAD,Fiscal year is October - September
ACHFF,quarterly,Q3 2020,2020-06-30 00:00:00,"29,572",CAD,Fiscal year is October - September
ACHFF,quarterly,Q2 2020,2020-03-31 00:00:00,"29,571",CAD,Fiscal year is October - September
ACHFF,quarterly,Q1 2020,2019-12-31 00:00:00,"26,081",CAD,Fiscal year is October - September
ACHFF,quarterly,Q4 2019,2019-09-30 00:00:00,"64,348",CAD,Fiscal year is October - September
ACRDF,annual,TTM,2024-09-30 00:00:00,"176,721,000",USD,Fiscal year is January - December
ACRDF,annual,FY 2023,2023-12-31 00:00:00,"223,378,000",USD,Fiscal year is January - December
ACRDF,annual,FY 2022,2022-12-31 00:00:00,"237,138,000",USD,Fiscal year is January - December
ACRDF,annual,FY 2021,2021-12-31 00:00:00,"188,859,000",USD,Fiscal year is January - December
ACRDF,annual,FY 2020,2020-12-31 00:00:00,"114,545,000",USD,Fiscal year is January - December
ACRDF,annual,FY 2019,2019-12-31 00:00:00,"74,109,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q3 2024,2024-09-30 00:00:00,"39,624,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q2 2024,2024-06-30 00:00:00,"38,998,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q1 2024,2024-03-31 00:00:00,"45,301,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q4 2023,2023-12-31 00:00:00,"52,798,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q3 2023,2023-09-30 00:00:00,"56,502,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q2 2023,2023-06-30 00:00:00,"58,115,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q1 2023,2023-03-31 00:00:00,"55,963,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q4 2022,2022-12-31 00:00:00,"57,489,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q3 2022,2022-09-30 00:00:00,"61,419,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q2 2022,2022-06-30 00:00:00,"61,351,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q1 2022,2022-03-31 00:00:00,"56,879,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q4 2021,2021-12-31 00:00:00,"58,097,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q3 2021,2021-09-30 00:00:00,"48,152,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q2 2021,2021-06-30 00:00:00,"44,217,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q1 2021,2021-03-31 00:00:00,"38,393,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q4 2020,2020-12-31 00:00:00,"31,506,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q3 2020,2020-09-30 00:00:00,"31,742,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q2 2020,2020-06-30 00:00:00,"27,072,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q1 2020,2020-03-31 00:00:00,"24,225,000",USD,Fiscal year is January - December
ACRDF,quarterly,Q4 2019,2019-12-31 00:00:00,"21,065,000",USD,Fiscal year is January - December
ACRHF,annual,TTM,2024-09-30 00:00:00,"176,721,000",USD,Fiscal year is January - December
ACRHF,annual,FY 2023,2023-12-31 00:00:00,"223,378,000",USD,Fiscal year is January - December
ACRHF,annual,FY 2022,2022-12-31 00:00:00,"237,138,000",USD,Fiscal year is January - December
ACRHF,annual,FY 2021,2021-12-31 00:00:00,"188,859,000",USD,Fiscal year is January - December
ACRHF,annual,FY 2020,2020-12-31 00:00:00,"114,545,000",USD,Fiscal year is January - December
ACRHF,annual,FY 2019,2019-12-31 00:00:00,"74,109,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q3 2024,2024-09-30 00:00:00,"39,624,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q2 2024,2024-06-30 00:00:00,"38,998,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q1 2024,2024-03-31 00:00:00,"45,301,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q4 2023,2023-12-31 00:00:00,"52,798,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q3 2023,2023-09-30 00:00:00,"56,502,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q2 2023,2023-06-30 00:00:00,"58,115,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q1 2023,2023-03-31 00:00:00,"55,963,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q4 2022,2022-12-31 00:00:00,"57,489,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q3 2022,2022-09-30 00:00:00,"61,419,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q2 2022,2022-06-30 00:00:00,"61,351,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q1 2022,2022-03-31 00:00:00,"56,879,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q4 2021,2021-12-31 00:00:00,"58,097,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q3 2021,2021-09-30 00:00:00,"48,152,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q2 2021,2021-06-30 00:00:00,"44,217,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q1 2021,2021-03-31 00:00:00,"38,393,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q4 2020,2020-12-31 00:00:00,"31,506,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q3 2020,2020-09-30 00:00:00,"31,742,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q2 2020,2020-06-30 00:00:00,"27,072,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q1 2020,2020-03-31 00:00:00,"24,225,000",USD,Fiscal year is January - December
ACRHF,quarterly,Q4 2019,2019-12-31 00:00:00,"21,065,000",USD,Fiscal year is January - December
ACUS,annual,TTM,2008-12-31 00:00:00,"2,684,000",USD,Fiscal year is January - December
ACUS,annual,FY 2008,2008-12-31 00:00:00,"2,684,000",USD,Fiscal year is January - December
ACUS,annual,FY 2007,2007-12-31 00:00:00,"2,667,000",USD,Fiscal year is January - December
ACUS,annual,FY 2006,2006-12-31 00:00:00,"1,781,000",USD,Fiscal year is January - December
ACUS,annual,FY 2005,2005-12-31 00:00:00,"3,429,000",USD,Fiscal year is January - December
ACUS,annual,FY 2004,2004-12-31 00:00:00,"1,714,000",USD,Fiscal year is January - December
ACUS,quarterly,Q4 2008,2008-12-31 00:00:00,"824,000",USD,Fiscal year is January - December
ACUS,quarterly,Q3 2008,2008-09-30 00:00:00,"339,000",USD,Fiscal year is January - December
ACUS,quarterly,Q2 2008,2008-06-30 00:00:00,"854,000",USD,Fiscal year is January - December
ACUS,quarterly,Q1 2008,2008-03-31 00:00:00,"667,000",USD,Fiscal year is January - December
ACUS,quarterly,Q4 2007,2007-12-31 00:00:00,"667,000",USD,Fiscal year is January - December
ACUS,quarterly,Q3 2007,2007-09-30 00:00:00,"667,000",USD,Fiscal year is January - December
ACUS,quarterly,Q2 2007,2007-06-30 00:00:00,"667,000",USD,Fiscal year is January - December
ACUS,quarterly,Q1 2007,2007-03-31 00:00:00,"667,000",USD,Fiscal year is January - December
ACUS,quarterly,Q4 2006,2006-12-31 00:00:00,"666,000",USD,Fiscal year is January - December
ACUS,quarterly,Q3 2006,2006-09-30 00:00:00,"12,000",USD,Fiscal year is January - December
ACUS,quarterly,Q2 2006,2006-06-30 00:00:00,"246,000",USD,Fiscal year is January - December
ACUS,quarterly,Q1 2006,2006-03-31 00:00:00,"857,000",USD,Fiscal year is January - December
ACUS,quarterly,Q4 2005,2005-12-31 00:00:00,"858,000",USD,Fiscal year is January - December
ACUS,quarterly,Q3 2005,2005-09-30 00:00:00,"857,000",USD,Fiscal year is January - December
ACUS,quarterly,Q2 2005,2005-06-30 00:00:00,"857,000",USD,Fiscal year is January - December
ACUS,quarterly,Q1 2005,2005-03-31 00:00:00,"857,000",USD,Fiscal year is January - December
ACUS,quarterly,Q4 2004,2004-12-31 00:00:00,"857,143",USD,Fiscal year is January - December
ACUS,quarterly,Q3 2004,2004-09-30 00:00:00,"857,143",USD,Fiscal year is January - December
ACUS,quarterly,Q2 2004,2004-06-30 00:00:00,-,USD,Fiscal year is January - December
ACUS,quarterly,Q1 2004,2004-03-31 00:00:00,-,USD,Fiscal year is January - December
ADXS,annual,TTM,2023-12-31 00:00:00,"13,000",USD,Fiscal year is January - December
ADXS,annual,FY 2023,2023-12-31 00:00:00,"13,000",USD,Fiscal year is January - December
ADXS,annual,FY 2022,2022-12-31 00:00:00,"692,000",USD,Fiscal year is January - December
AFFY,annual,TTM,2014-06-30 00:00:00,"42,000",USD,Fiscal year is January - December
AFFY,annual,FY 2013,2013-12-31 00:00:00,"1,369,000",USD,Fiscal year is January - December
AFFY,annual,FY 2012,2012-12-31 00:00:00,"94,370,000",USD,Fiscal year is January - December
AFFY,annual,FY 2011,2011-12-31 00:00:00,"47,720,000",USD,Fiscal year is January - December
AFFY,annual,FY 2010,2010-12-31 00:00:00,"112,521,000",USD,Fiscal year is January - December
AFFY,annual,FY 2009,2009-12-31 00:00:00,"114,899,000",USD,Fiscal year is January - December
AFFY,quarterly,Q2 2014,2014-06-30 00:00:00,"42,000",USD,Fiscal year is January - December
AFFY,quarterly,Q1 2014,2014-03-31 00:00:00,-,USD,Fiscal year is January - December
AFFY,quarterly,Q4 2013,2013-12-31 00:00:00,-,USD,Fiscal year is January - December
AFFY,quarterly,Q3 2013,2013-09-30 00:00:00,-,USD,Fiscal year is January - December
AFFY,quarterly,Q2 2013,2013-06-30 00:00:00,"525,000",USD,Fiscal year is January - December
AFFY,quarterly,Q1 2013,2013-03-31 00:00:00,"844,000",USD,Fiscal year is January - December
AFFY,quarterly,Q4 2012,2012-12-31 00:00:00,"14,799,000",USD,Fiscal year is January - December
AFFY,quarterly,Q3 2012,2012-09-30 00:00:00,"13,607,000",USD,Fiscal year is January - December
AFFY,quarterly,Q2 2012,2012-06-30 00:00:00,"2,755,000",USD,Fiscal year is January - December
AFFY,quarterly,Q1 2012,2012-03-31 00:00:00,"63,209,000",USD,Fiscal year is January - December
AFFY,quarterly,Q4 2011,2011-12-31 00:00:00,"3,677,000",USD,Fiscal year is January - December
AFFY,quarterly,Q3 2011,2011-09-30 00:00:00,"13,209,000",USD,Fiscal year is January - December
AFFY,quarterly,Q2 2011,2011-06-30 00:00:00,"14,151,000",USD,Fiscal year is January - December
AFFY,quarterly,Q1 2011,2011-03-31 00:00:00,"16,683,000",USD,Fiscal year is January - December
AFFY,quarterly,Q4 2010,2010-12-31 00:00:00,"6,735,000",USD,Fiscal year is January - December
AFFY,quarterly,Q3 2010,2010-09-30 00:00:00,"16,790,000",USD,Fiscal year is January - December
AFFY,quarterly,Q2 2010,2010-06-30 00:00:00,"54,346,000",USD,Fiscal year is January - December
AFFY,quarterly,Q1 2010,2010-03-31 00:00:00,"34,650,000",USD,Fiscal year is January - December
AFFY,quarterly,Q4 2009,2009-12-31 00:00:00,"32,962,000",USD,Fiscal year is January - December
AFFY,quarterly,Q3 2009,2009-09-30 00:00:00,"29,161,000",USD,Fiscal year is January - December
AGYTF,annual,TTM,2024-06-30 00:00:00,"55,199,000",GBP,Fiscal year is July - June
AGYTF,annual,FY 2024,2024-06-30 00:00:00,"55,199,000",GBP,Fiscal year is July - June
AGYTF,annual,FY 2023,2023-06-30 00:00:00,"59,587,000",GBP,Fiscal year is July - June
AGYTF,annual,FY 2022,2022-06-30 00:00:00,"72,768,000",GBP,Fiscal year is July - June
AGYTF,annual,FY 2021,2021-06-30 00:00:00,"84,331,000",GBP,Fiscal year is July - June
AGYTF,annual,FY 2020,2020-06-30 00:00:00,"78,204,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H2 2024,2024-06-30 00:00:00,"21,627,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H1 2024,2023-12-31 00:00:00,"33,572,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H2 2023,2023-06-30 00:00:00,"19,686,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H1 2023,2022-12-31 00:00:00,"39,901,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H2 2022,2022-06-30 00:00:00,"24,072,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H1 2022,2021-12-31 00:00:00,"48,696,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H2 2021,2021-06-30 00:00:00,"30,299,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H1 2021,2020-12-31 00:00:00,"54,032,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H2 2020,2020-06-30 00:00:00,"27,732,000",GBP,Fiscal year is July - June
AGYTF,Semi-Annual,H1 2020,2019-12-31 00:00:00,"50,472,000",GBP,Fiscal year is July - June
AKBLF,annual,TTM,2024-09-30 00:00:00,"5,383,000,000",DKK,Fiscal year is January - December
AKBLF,annual,FY 2023,2023-12-31 00:00:00,"4,824,000,000",DKK,Fiscal year is January - December
AKBLF,annual,FY 2022,2022-12-31 00:00:00,"4,511,000,000",DKK,Fiscal year is January - December
AKBLF,annual,FY 2021,2021-12-31 00:00:00,"3,916,000,000",DKK,Fiscal year is January - December
AKBLF,annual,FY 2020,2020-12-31 00:00:00,"3,491,000,000",DKK,Fiscal year is January - December
AKBLF,annual,FY 2019,2019-12-31 00:00:00,"3,274,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q3 2024,2024-09-30 00:00:00,"1,313,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q2 2024,2024-06-30 00:00:00,"1,374,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q1 2024,2024-03-31 00:00:00,"1,351,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q4 2023,2023-12-31 00:00:00,"1,345,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q3 2023,2023-09-30 00:00:00,"1,110,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q2 2023,2023-06-30 00:00:00,"1,135,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q1 2023,2023-03-31 00:00:00,"1,234,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q4 2022,2022-12-31 00:00:00,"1,249,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q3 2022,2022-09-30 00:00:00,"1,062,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q2 2022,2022-06-30 00:00:00,"1,045,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q1 2022,2022-03-31 00:00:00,"1,155,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q4 2021,2021-12-31 00:00:00,"1,099,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q3 2021,2021-09-30 00:00:00,"928,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q2 2021,2021-06-30 00:00:00,"868,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q1 2021,2021-03-31 00:00:00,"1,021,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q4 2020,2020-12-31 00:00:00,"991,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q3 2020,2020-09-30 00:00:00,"772,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q2 2020,2020-06-30 00:00:00,"772,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q1 2020,2020-03-31 00:00:00,"956,000,000",DKK,Fiscal year is January - December
AKBLF,quarterly,Q4 2019,2019-12-31 00:00:00,"883,000,000",DKK,Fiscal year is January - December
AKESF,annual,TTM,2024-06-30 00:00:00,"1,874,138,000",CNY,Fiscal year is January - December
AKESF,annual,FY 2023,2023-12-31 00:00:00,"4,526,253,000",CNY,Fiscal year is January - December
AKESF,annual,FY 2022,2022-12-31 00:00:00,"837,656,000",CNY,Fiscal year is January - December
AKESF,annual,FY 2021,2021-12-31 00:00:00,"225,626,000",CNY,Fiscal year is January - December
AKESF,annual,FY 2020,2020-12-31 00:00:00,-,CNY,Fiscal year is January - December
AKESF,annual,FY 2019,2019-12-31 00:00:00,"70,879,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H1 2024,2024-06-30 00:00:00,"1,024,744,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H2 2023,2023-12-31 00:00:00,"849,394,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H1 2023,2023-06-30 00:00:00,"3,676,859,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H2 2022,2022-12-31 00:00:00,"674,521,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H1 2022,2022-06-30 00:00:00,"163,135,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H2 2021,2021-12-31 00:00:00,"97,026,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H1 2021,2021-06-30 00:00:00,"128,600,000",CNY,Fiscal year is January - December
AKESF,Semi-Annual,H2 2020,2020-12-31 00:00:00,-,CNY,Fiscal year is January - December
AKESF,Semi-Annual,H1 2020,2020-06-30 00:00:00,-,CNY,Fiscal year is January - December
AKESF,Semi-Annual,H2 2019,2019-12-31 00:00:00,"70,879,000",CNY,Fiscal year is January - December
ALID,annual,TTM,2024-08-31 00:00:00,"96,180",USD,Fiscal year is September - August
ALID,annual,FY 2024,2024-08-31 00:00:00,"96,180",USD,Fiscal year is September - August
ALID,annual,FY 2023,2023-08-31 00:00:00,"72,096",USD,Fiscal year is September - August
ALID,annual,FY 2022,2022-08-31 00:00:00,"165,596",USD,Fiscal year is September - August
ALID,annual,FY 2021,2021-08-31 00:00:00,"16,036",USD,Fiscal year is September - August
ALID,annual,FY 2020,2020-08-31 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q4 2024,2024-08-31 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q3 2024,2024-05-31 00:00:00,"77,141",USD,Fiscal year is September - August
ALID,quarterly,Q2 2024,2024-02-29 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q1 2024,2023-11-30 00:00:00,"19,039",USD,Fiscal year is September - August
ALID,quarterly,Q4 2023,2023-08-31 00:00:00,"2,471",USD,Fiscal year is September - August
ALID,quarterly,Q3 2023,2023-05-31 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q2 2023,2023-02-28 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q1 2023,2022-11-30 00:00:00,"69,625",USD,Fiscal year is September - August
ALID,quarterly,Q4 2022,2022-08-31 00:00:00,"116,412",USD,Fiscal year is September - August
ALID,quarterly,Q3 2022,2022-05-31 00:00:00,"6,628",USD,Fiscal year is September - August
ALID,quarterly,Q2 2022,2022-02-28 00:00:00,"23,378",USD,Fiscal year is September - August
ALID,quarterly,Q1 2022,2021-11-30 00:00:00,"19,178",USD,Fiscal year is September - August
ALID,quarterly,Q4 2021,2021-08-31 00:00:00,"10,776",USD,Fiscal year is September - August
ALID,quarterly,Q3 2021,2021-05-31 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q2 2021,2021-02-28 00:00:00,"1,060",USD,Fiscal year is September - August
ALID,quarterly,Q1 2021,2020-11-30 00:00:00,"4,200",USD,Fiscal year is September - August
ALID,quarterly,Q4 2020,2020-08-31 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q3 2020,2020-05-31 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q2 2020,2020-02-29 00:00:00,-,USD,Fiscal year is September - August
ALID,quarterly,Q1 2020,2019-11-30 00:00:00,-,USD,Fiscal year is September - August
ANTCF,annual,TTM,2024-10-31 00:00:00,"1,149,964",CAD,Fiscal year is May - April
ANTCF,annual,FY 2024,2024-04-30 00:00:00,"367,479",CAD,Fiscal year is May - April
ANTCF,annual,FY 2023,2023-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,annual,FY 2022,2022-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,annual,FY 2021,2021-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,annual,FY 2020,2020-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q2 2025,2024-10-31 00:00:00,"347,625",CAD,Fiscal year is May - April
ANTCF,quarterly,Q1 2025,2024-07-31 00:00:00,"434,860",CAD,Fiscal year is May - April
ANTCF,quarterly,Q4 2024,2024-04-30 00:00:00,"145,436",CAD,Fiscal year is May - April
ANTCF,quarterly,Q3 2024,2024-01-31 00:00:00,"222,043",CAD,Fiscal year is May - April
ANTCF,quarterly,Q2 2024,2023-10-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q1 2024,2023-07-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q4 2023,2023-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q3 2023,2023-01-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q2 2023,2022-10-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q1 2023,2022-07-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q4 2022,2022-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q3 2022,2022-01-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q2 2022,2021-10-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q1 2022,2021-07-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q4 2021,2021-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q3 2021,2021-01-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q2 2021,2020-10-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q1 2021,2020-07-31 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q4 2020,2020-04-30 00:00:00,-,CAD,Fiscal year is May - April
ANTCF,quarterly,Q3 2020,2020-01-31 00:00:00,-,CAD,Fiscal year is May - April
ANTH,annual,TTM,2018-03-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,annual,FY 2017,2017-12-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,annual,FY 2016,2016-12-31 00:00:00,"145,000",USD,Fiscal year is January - December
ANTH,annual,FY 2015,2015-12-31 00:00:00,"3,185,000",USD,Fiscal year is January - December
ANTH,annual,FY 2014,2014-12-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,annual,FY 2013,2013-12-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q1 2018,2018-03-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q4 2017,2017-12-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q3 2017,2017-09-30 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q2 2017,2017-06-30 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q1 2017,2017-03-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q4 2016,2016-12-31 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q3 2016,2016-09-30 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q2 2016,2016-06-30 00:00:00,-,USD,Fiscal year is January - December
ANTH,quarterly,Q1 2016,2016-03-31 00:00:00,"145,000",USD,Fiscal year is January - December
ANTH,quarterly,Q4 2015,2015-12-31 00:00:00,"1,918,000",USD,Fiscal year is January - December
ANTH,quarterly,Q3 2015,2015-09-30 00:00:00,"733,000",USD,Fiscal year is January - December
ANTH,quarterly,Q2 2015,2015-06-30 00:00:00,"289,000",USD,Fiscal year is January - December
ANTH,quarterly,Q1 2015,2015-03-31 00:00:00,"245,000",USD,Fiscal year is January - December
ANTH,quarterly,Q4 2014,2014-12-31 00:00:00,-,USD,Fiscal year is January - December
