Fiscal Year,TTM,FY 2023,FY 2022,FY 2017,FY 2016,FY 2010,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Sep '10 Sep 30, 2010",,
Revenue,"122,000","122,000","2,029,000","2,201,000","1,685,000","12,454,927",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-93.987%,-93.987%,-7.815%,30.623%,-86.471%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,266,000","4,266,000","9,754,000","1,525,000","1,713,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-4,144,000","-4,144,000","-7,725,000","676,000","-28,000","12,454,927",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,255,282","7,602,000","8,960,000","6,930,000","4,220,000",-,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"6,103,000","1,128,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,255,282","7,602,000","8,960,000","13,033,000","5,348,000",-,Financials in USD,Fiscal year is January - December
Operating Income,"-12,399,282","-11,746,000","-16,685,000","-12,357,000","-5,376,000",-,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,021,419","-23,000","-248,000",-,"-69,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"63,000","48,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"127,646",-,-,"31,000","29,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,293,055","-11,706,000","-16,885,000","-12,326,000","-5,416,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-693,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,293,055","-11,706,000","-16,885,000","-12,326,000","-6,109,000",-,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,035,679",-,"330,000",-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,-,"-11,706,000","-17,215,000","-12,326,000","-6,109,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-16,257,376","-11,706,000","-17,215,000","-12,326,000","-6,109,000","741,950",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,257,376","-11,706,000","-17,215,000","-12,326,000","-6,109,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"51,518,605","9,356,648","9,311,698","11,766,258","11,637,794",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"51,518,605","9,356,648","9,311,698","11,766,258","11,637,794",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),453.268%,0.483%,-20.861%,1.104%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.316,-1.251,-1.849,-1.048,-0.525,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.316,-1.251,-1.849,-1.048,-0.525,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,719,430","-7,450,000","-8,952,000","-10,235,000","-4,988,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.130,-0.796,-0.961,-0.870,-0.429,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,30.713%,-1.662%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-10163.346%,-9627.869%,-822.326%,-561.427%,-319.050%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-13325.718%,-9595.082%,-848.448%,-560.018%,-362.552%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5507.730%,-6106.557%,-441.203%,-465.016%,-296.024%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-12,246,282","-11,467,000","-16,313,000","-12,201,000","-5,312,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"153,000","279,000","372,000","156,000","64,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-12,399,282","-11,746,000","-16,685,000","-12,357,000","-5,376,000",-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"122,000","122,000","2,029,000",-,-,-,Financials in USD,Fiscal year is January - December
